kabupaten_kota,umk,jumlah_penduduk,ipm,tpt
Buton,3073551,118410,67.23,2.99
Muna,3073551,221370,69.61,3.11
Konawe,3259583,264930,72.04,2.73
Kolaka,3342626,243040,73.98,4.17
Konawe Selatan,3259583,318350,69.36,2.95
Bombana,3073551,155510,66.81,1.47
Wakatobi,3073551,114620,70.85,3.53
Kolaka Utara,3342626,142770,70.39,2.86
Buton Utara,3073551,68090,69.0,2.1
Konawe Utara,3259583,70680,71.1,2.01
Kolaka Timur,3342626,123980,68.73,2.22
Konawe Kepulauan,3259583,38310,66.69,1.85
Muna Barat,3073551,87590,66.21,2.4
Buton Tengah,3073551,117630,65.29,2.63
Buton Selatan,3073551,97950,65.44,4.18
Kendari,3314389,357650,84.51,5.23
BauBau,3073551,163720,76.67,5.39
