Kabupaten/Kota,Jumlah Penduduk,Angka Harapan Hidup,Jumlah yang Masih Sekolah,Tingkat Partisipasi Angkatan Kerja (TPAK),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah),Akses Air  Minum Layak,Jumlah Penduduk Miskin,Indeks Pembangunan Manusia,Tingkat Pengangguran Terbuka (TPT),Sejahtera / Tidak Sejahtera
Buton,118410,68.46,79.14,77.34,7594,98.53,13.61,67.23,2.99,1
Muna,221370,70.47,79.73,66.41,8328,96.1,30.48,69.61,3.11,0
Konawe,264930,70.38,69.94,66.81,10552,86.26,32.09,72.04,2.73,0
Kolaka,243040,71.3,68.2,64.49,12639,97.68,31.56,73.98,4.17,0
Konawe Selatan,318350,70.95,68.82,69.46,9347,89.75,35.79,69.36,2.95,0
Bombana,155510,69.2,66.27,68.3,8680,98.72,19.21,66.81,1.47,1
Wakatobi,114620,70.59,71.7,73.39,9758,97.38,15.01,70.85,3.53,1
Kolaka Utara,142770,70.4,67.01,77.18,10721,92.27,20.63,70.39,2.86,1
Buton Utara,68090,70.96,74.36,81.23,7935,95.72,9.13,69,2.1,1
Konawe Utara,70680,69.59,69.17,71.64,9666,89.02,9.02,71.1,2.01,1
Kolaka Timur,123980,72.9,71.07,69.51,8155,97.61,19.33,68.73,2.22,1
Konawe Kepulauan,38310,68.46,73.41,68.65,7192,89.01,5.47,66.69,1.85,1
Muna Barat,87590,70.39,72.79,82.12,7668,96.05,11.56,66.21,2.4,1
Buton Tengah,117630,67.78,78.57,68.07,7670,96.07,13.92,65.29,2.63,1
Buton Selatan,97950,67.76,75.11,71.88,7476,98.41,11.57,65.44,4.18,1
Kendari,357650,73.93,83.78,65.48,14765,95.27,18.72,84.51,5.23,0
BauBau,163720,71.36,77.2,61.14,10835,100,12.69,76.67,5.39,0
